aX,aY,aZ,gX,gY,gZ
-1.140,0.457,0.500,24.719,-447.876,104.126
-1.047,0.419,0.512,44.617,-457.153,107.849
-0.984,0.457,0.477,62.378,-442.749,117.004
-1.000,0.530,0.458,70.068,-410.278,118.591
-1.074,0.550,0.468,68.726,-371.948,100.525
-1.178,0.604,0.435,60.791,-335.876,65.063
-1.238,0.600,0.361,48.706,-303.040,27.283
-1.334,0.528,0.227,40.710,-276.001,-2.319
-1.412,0.527,0.112,32.654,-263.000,-25.330
-1.466,0.488,0.025,27.161,-265.381,-35.278
-1.417,0.398,-0.044,26.062,-273.499,-30.762
-1.300,0.382,-0.050,28.870,-280.701,-20.813
-1.145,0.416,-0.042,38.086,-290.771,-12.024
-1.033,0.399,-0.042,51.575,-301.697,-5.554
-0.932,0.365,-0.056,61.584,-301.819,-3.235
-0.866,0.370,-0.115,67.078,-288.513,-5.798
-0.782,0.341,-0.164,73.425,-263.367,-17.883
-0.745,0.371,-0.175,77.942,-237.549,-40.955
-0.712,0.438,-0.198,79.407,-218.933,-63.354
-0.694,0.443,-0.205,82.214,-205.078,-75.745
-0.708,0.477,-0.195,83.435,-196.716,-79.224
-0.713,0.522,-0.194,80.444,-195.068,-76.904
-0.706,0.529,-0.201,76.782,-198.364,-70.190
-0.702,0.539,-0.217,74.829,-202.759,-66.406
-0.638,0.595,-0.182,70.435,-202.637,-71.289
-0.600,0.632,-0.113,64.575,-195.129,-78.796
-0.666,0.677,-0.120,54.932,-183.411,-88.074
-0.711,0.725,-0.181,40.649,-169.861,-103.943
-0.749,0.710,-0.244,25.452,-159.180,-122.009
-0.812,0.647,-0.262,13.184,-155.640,-137.146
-0.884,0.646,-0.325,4.333,-158.447,-152.466
-0.870,0.632,-0.328,1.709,-163.269,-169.739
-0.781,0.616,-0.275,6.348,-165.771,-184.448
-0.758,0.651,-0.265,12.329,-167.847,-193.054
-0.682,0.669,-0.274,16.113,-167.114,-199.036
-0.509,0.642,-0.246,14.526,-161.255,-200.195
-0.431,0.682,-0.272,5.920,-152.710,-195.496
-0.374,0.567,-0.291,-3.296,-140.381,-187.683
-0.432,0.853,-0.314,-16.479,-130.920,-178.772
-0.465,0.767,-0.292,-11.047,-120.850,-179.932
-0.426,0.732,-0.385,-3.479,-113.770,-166.138
-0.360,0.737,-0.445,-6.042,-108.459,-151.855
-0.343,0.725,-0.437,-15.015,-99.182,-147.705
-0.197,0.676,-0.450,-19.226,-92.590,-158.203
-0.134,0.615,-0.435,-12.878,-80.566,-178.589
-0.087,0.642,-0.421,-8.728,-64.697,-196.289
0.006,0.640,-0.434,-8.057,-50.293,-204.529
0.061,0.619,-0.432,-6.348,-40.955,-205.627
0.083,0.577,-0.443,-1.587,-39.246,-204.407
0.088,0.568,-0.372,1.953,-35.706,-202.454
0.173,0.588,-0.301,2.136,-27.588,-202.637
0.257,0.569,-0.268,-1.160,-21.240,-206.360
0.304,0.454,-0.318,-7.141,-18.738,-206.726
0.323,0.296,-0.400,-16.785,-16.418,-202.026
0.420,0.213,-0.437,-22.522,-8.423,-201.599
0.526,0.144,-0.475,-20.691,-1.221,-200.623
0.629,0.091,-0.515,-14.526,6.531,-192.017
0.738,0.074,-0.530,-12.390,15.076,-183.167
0.711,0.066,-0.546,-10.376,23.132,-178.162
0.731,0.036,-0.585,-12.451,31.433,-178.650
0.755,-0.025,-0.625,-18.494,39.368,-176.331
0.800,-0.116,-0.677,-24.780,43.579,-169.312
0.830,-0.228,-0.733,-30.334,45.105,-157.532
0.922,-0.347,-0.724,-33.325,48.523,-138.977
0.980,-0.410,-0.770,-30.762,45.410,-119.629
0.906,-0.433,-0.823,-25.879,36.865,-101.501
0.877,-0.467,-0.888,-21.973,31.311,-84.045
0.844,-0.490,-0.932,-18.066,26.123,-65.857
0.778,-0.465,-1.004,-11.475,18.494,-49.133
0.693,-0.445,-1.052,-2.808,12.146,-34.424
0.635,-0.344,-1.010,6.592,12.085,-21.545
0.609,-0.171,-0.935,14.038,15.686,-10.010
0.576,-0.010,-0.903,14.160,18.127,-1.221
