aX,aY,aZ,gX,gY,gZ
-0.252,1.549,1.199,-118.042,195.679,109.070
-0.421,1.115,1.167,-87.341,177.917,99.854
-0.707,0.820,1.161,-67.810,174.866,61.523
-0.927,0.730,1.128,-68.176,195.007,15.259
-1.019,0.687,1.040,-83.984,236.694,-14.648
-0.890,0.689,0.840,-117.065,303.894,-18.188
-0.540,0.816,0.574,-159.607,385.254,-2.075
-0.171,0.962,0.228,-191.467,453.735,22.644
0.191,1.017,0.025,-200.439,473.511,42.847
0.466,0.889,-0.100,-185.852,436.340,49.561
0.567,0.572,-0.208,-162.170,377.502,42.908
0.533,0.271,-0.322,-137.756,321.350,29.663
0.463,-0.245,-0.362,-120.728,282.532,10.864
0.361,-0.652,-0.388,-117.493,261.230,-11.169
0.318,-1.000,-0.482,-129.517,249.146,-34.851
0.352,-1.271,-0.622,-155.029,246.704,-55.298
0.481,-1.517,-0.735,-181.152,247.437,-79.895
0.784,-1.712,-0.902,-196.228,246.338,-109.497
1.324,-1.713,-1.000,-197.021,236.023,-135.681
1.177,-1.670,-1.384,-182.922,214.478,-156.311
1.765,-1.530,-1.274,-150.452,237.549,-179.687
1.892,-1.231,-1.263,-114.807,231.201,-192.139
2.371,-0.716,-0.993,-86.304,237.549,-191.711
2.862,-0.090,-0.933,-76.904,272.827,-167.847
3.282,0.638,-0.550,-50.720,314.636,-125.427
3.643,0.766,0.397,17.639,334.412,-80.505
4.000,-0.001,1.555,102.478,317.139,-18.616
3.346,-0.804,2.466,130.859,222.900,63.782
1.864,-1.276,2.203,55.542,61.890,141.052
0.054,-1.393,0.886,-64.148,-104.797,172.729
-1.312,-1.131,-0.382,-143.860,-227.356,136.658
-2.006,-0.596,-1.612,-165.039,-266.174,50.964
-2.142,0.109,-2.422,-149.292,-227.478,-47.546
-1.634,0.838,-2.603,-104.492,-138.916,-117.676
-0.877,0.981,-2.354,-42.908,-49.377,-133.057
-0.200,0.774,-1.888,0.854,28.442,-110.962
0.423,0.623,-1.521,14.282,92.224,-72.998
0.933,0.733,-1.210,20.203,119.507,-36.011
1.306,0.697,-0.861,38.757,108.093,-9.033
1.659,0.363,-0.468,66.223,81.970,8.240
1.577,0.009,-0.073,81.726,41.504,19.104
1.472,-0.138,0.140,72.021,6.165,16.235
1.321,-0.090,0.121,43.640,-19.714,10.010
1.168,-0.004,0.006,20.630,-42.480,3.418
1.043,0.091,-0.168,4.272,-56.885,-4.211
0.940,0.202,-0.355,-3.967,-60.303,-11.719
0.882,0.302,-0.482,-5.920,-55.054,-18.127
0.859,0.375,-0.586,-4.395,-45.288,-21.179
0.858,0.474,-0.691,-3.235,-34.485,-20.508
0.879,0.548,-0.754,0.671,-22.522,-16.968
0.978,0.568,-0.702,10.193,-12.634,-9.949
1.092,0.547,-0.626,21.606,-8.789,-1.831
1.226,0.526,-0.539,31.616,-11.475,7.385
1.299,0.482,-0.468,41.321,-21.423,20.203
1.354,0.321,-0.360,49.133,-33.386,29.175
1.365,0.223,-0.182,53.284,-44.739,28.870
1.338,0.170,-0.046,54.260,-60.303,24.170
1.297,0.097,0.053,51.636,-79.712,21.240
1.213,0.072,0.103,44.617,-99.304,20.020
1.123,0.070,0.080,32.166,-115.906,18.188
1.083,0.052,0.016,18.066,-127.441,16.541
1.100,0.050,-0.077,4.639,-130.737,17.334
1.153,0.061,-0.161,-4.333,-128.418,18.677
1.285,0.064,-0.204,-8.057,-124.695,20.325
1.404,0.043,-0.214,-4.761,-128.052,25.696
1.597,0.003,-0.203,-1.770,-136.963,36.255
1.732,-0.057,-0.198,-0.183,-154.724,51.636
1.729,-0.097,-0.261,3.601,-183.655,69.641
1.592,-0.100,-0.288,12.390,-217.590,80.688
1.412,-0.107,-0.305,26.489,-251.465,83.191
1.200,-0.180,-0.279,42.969,-280.640,82.092
1.032,-0.212,-0.206,56.152,-298.889,76.538
0.985,-0.325,-0.153,62.805,-305.847,66.589
0.950,-0.388,-0.111,63.477,-308.228,59.265
0.919,-0.415,-0.080,59.692,-310.852,54.138
0.943,-0.457,-0.053,56.458,-311.646,48.828
1.017,-0.470,-0.022,55.786,-316.101,43.396
1.047,-0.389,0.023,56.458,-331.726,37.292
1.018,-0.351,0.003,59.875,-358.887,27.832
0.959,-0.354,-0.088,67.627,-392.944,15.503
0.857,-0.356,-0.088,78.735,-433.044,2.319
0.757,-0.340,-0.064,88.135,-471.252,-11.292
0.630,-0.294,-0.077,89.905,-492.920,-22.583
0.442,-0.173,-0.124,81.482,-498.047,-24.658
0.196,-0.073,-0.125,67.932,-488.525,-18.616
-0.024,0.023,-0.056,55.298,-459.412,-4.883
-0.174,0.099,0.043,45.837,-411.438,10.437
-0.322,0.100,0.041,38.208,-357.422,24.536
-0.324,0.187,0.167,28.870,-300.537,39.856
-0.227,0.339,0.292,17.212,-245.544,54.199
-0.181,0.435,0.358,6.836,-201.660,68.909
-0.111,0.487,0.430,1.526,-173.157,80.017
-0.055,0.627,0.458,-2.014,-158.691,84.229
-0.142,0.805,0.423,-4.517,-158.813,84.412
-0.334,0.991,0.330,-2.258,-166.443,80.994
-0.525,1.128,0.272,11.902,-172.119,71.899
-0.789,1.227,0.236,35.461,-172.974,58.777
-1.000,1.298,0.233,63.354,-161.865,43.091
