aX,aY,aZ,gX,gY,gZ
0.998,-0.378,0.943,84.595,40.344,-70.129
1.004,-0.367,0.992,82.520,46.326,-65.063
0.999,-0.387,1.012,78.430,52.307,-57.739
1.046,-0.366,1.040,72.998,55.725,-47.058
1.101,-0.381,1.074,68.237,57.129,-39.917
1.153,-0.398,1.106,64.026,54.688,-40.710
1.190,-0.393,1.100,61.279,47.668,-44.922
1.194,-0.371,1.098,60.486,36.316,-47.729
1.143,-0.371,1.089,57.129,23.926,-48.035
1.079,-0.408,1.051,52.368,14.648,-44.800
1.079,-0.407,1.022,47.913,12.634,-41.870
1.184,-0.474,1.024,42.969,14.526,-39.551
1.057,-0.385,0.856,37.109,-8.484,-44.434
0.937,-0.320,1.011,39.124,-27.405,-26.367
0.895,-0.301,0.894,36.377,-15.564,-16.479
0.942,-0.377,0.821,35.339,-1.343,-14.465
0.950,-0.398,0.775,32.654,2.319,-15.259
0.925,-0.390,0.790,32.471,-5.432,-14.893
1.096,-0.430,0.553,42.542,-23.987,-15.625
1.269,-0.522,0.217,68.054,-94.238,-8.667
1.182,-0.704,-0.082,75.623,-210.693,20.569
1.065,-0.710,-0.002,39.978,-347.961,44.800
0.335,-0.814,1.334,-46.875,-476.379,40.771
-0.287,-0.336,1.779,-189.514,-496.765,28.198
-0.363,-0.005,1.737,-236.816,-325.378,24.780
0.038,0.129,1.025,-160.095,-152.039,22.705
0.339,-0.089,1.043,-39.063,-40.222,22.400
0.566,-0.096,0.924,34.058,19.653,17.212
0.573,-0.209,0.941,55.237,18.921,13.611
0.531,-0.351,1.017,44.128,2.319,9.399
0.433,-0.409,1.016,21.729,-7.568,10.925
0.380,-0.396,1.017,7.812,-10.742,13.733
0.379,-0.353,1.008,2.991,-9.094,12.390
0.371,-0.340,0.982,1.709,-7.202,8.789
0.350,-0.363,0.959,0.916,-5.798,5.188
0.320,-0.380,0.948,-1.343,-6.836,3.967
0.314,-0.394,0.940,-4.089,-8.606,4.456
0.310,-0.400,0.930,-7.507,-12.085,4.272
0.330,-0.382,0.918,-10.803,-13.855,3.540
0.345,-0.347,0.925,-10.681,-15.320,3.113
0.369,-0.315,0.915,-4.272,-16.541,1.343
0.390,-0.294,0.883,6.042,-14.160,-2.014
0.401,-0.286,0.853,15.930,-12.085,-4.089
0.395,-0.281,0.842,23.071,-10.254,-4.578
0.395,-0.306,0.845,26.794,-6.470,-3.662
0.420,-0.364,0.887,25.391,-2.563,-2.441
0.437,-0.414,0.904,17.090,-2.258,0.977
0.440,-0.410,0.894,6.836,-5.737,4.150
0.433,-0.412,0.894,0.427,-9.766,3.540
