aX,aY,aZ,gX,gY,gZ
0.042,-0.100,1.231,-27.039,-21.729,11.963
0.042,-0.041,1.044,-39.429,4.211,15.686
0.030,-0.044,0.881,-40.466,14.648,16.296
0.002,-0.006,0.759,-31.921,15.137,9.521
0.005,0.031,0.706,-19.592,14.526,1.404
0.044,0.044,0.699,-8.911,15.259,-2.747
0.078,0.023,0.716,0.366,16.418,-3.357
0.143,0.023,0.779,6.897,18.127,-3.235
0.200,-0.010,0.842,12.207,15.747,-3.174
0.204,-0.035,0.907,18.555,8.118,-3.906
0.200,-0.064,0.982,21.973,3.357,-5.249
0.204,-0.089,1.029,20.996,1.953,-5.066
0.212,-0.102,1.049,16.174,2.563,-4.028
0.227,-0.105,1.040,11.475,4.211,-3.357
0.228,-0.102,1.025,8.728,5.127,-2.991
0.209,-0.104,0.992,7.385,5.188,-2.136
0.187,-0.103,0.961,6.165,5.127,-0.549
0.174,-0.093,0.934,4.456,6.775,1.404
0.160,-0.093,0.910,3.052,8.179,3.601
0.153,-0.096,0.902,3.235,8.545,5.188
0.152,-0.102,0.907,4.333,7.935,5.920
0.158,-0.109,0.913,5.920,6.958,4.761
0.165,-0.111,0.926,8.301,4.883,2.441
0.171,-0.109,0.954,9.338,2.197,0.671
0.178,-0.110,0.973,8.911,1.221,0.000
0.181,-0.117,0.982,7.690,2.014,0.366
0.197,-0.114,0.986,5.615,3.296,1.038
0.216,-0.105,0.989,4.639,3.784,1.038
0.208,-0.100,0.981,4.700,2.686,1.099
0.188,-0.097,0.964,3.967,1.587,1.953
0.172,-0.093,0.952,2.502,2.686,2.625
0.169,-0.091,0.960,1.587,5.005,2.625
0.198,-0.101,0.975,0.732,6.897,2.075
0.215,-0.099,0.978,-0.671,5.737,2.075
0.212,-0.094,0.989,-1.404,2.319,2.319
0.212,-0.091,0.986,-1.587,0.732,1.953
0.206,-0.076,0.985,-2.747,0.366,1.526
0.207,-0.069,0.990,-3.906,0.854,1.770
0.210,-0.067,1.007,-4.395,1.648,1.770
0.213,-0.061,1.021,-5.310,1.587,2.136
0.217,-0.055,1.024,-6.775,1.221,3.174
0.223,-0.044,1.044,-6.165,0.427,4.578
0.276,-0.033,1.163,-1.648,-0.793,6.348
0.315,-0.075,1.311,3.723,-3.601,9.705
0.304,-0.170,1.458,5.493,-9.155,14.282
0.276,-0.254,1.597,3.113,-16.174,15.015
0.279,-0.289,1.687,-7.874,-17.883,13.428
0.307,-0.279,1.731,-25.330,-16.907,14.160
0.349,-0.262,1.749,-42.358,-15.991,17.273
0.398,-0.250,1.750,-55.908,-19.165,20.874
0.411,-0.240,1.738,-66.833,-27.588,23.743
0.380,-0.231,1.707,-76.233,-37.659,25.635
0.324,-0.217,1.651,-85.449,-46.509,26.733
0.247,-0.195,1.589,-94.299,-52.063,27.771
0.189,-0.182,1.520,-102.417,-54.321,28.503
0.161,-0.170,1.471,-110.168,-51.880,28.503
0.137,-0.158,1.438,-117.859,-47.058,28.076
0.160,-0.159,1.434,-125.732,-39.612,29.114
0.162,-0.158,1.435,-134.949,-29.663,32.349
0.148,-0.164,1.437,-145.081,-19.287,36.560
